"zip";"individuals";"total_income";"average_income"
"32568";2820;83757;29.701063829787234
"32569";11360;384072;33.80915492957747
"32570";30060;850610;28.29707252162342
"32571";37140;1325846;35.698599892299406
"32577";5070;171867;33.89881656804734
"32578";33580;1565160;46.60988683740322
"32579";9880;509260;51.544534412955464
"32580";3990;145536;36.47518796992481
"32583";23750;741306;31.212884210526315
"32601";9620;318554;33.113721413721414
"32603";1450;67473;46.53310344827586
"32605";21360;997978;46.72181647940075
"32606";21360;1052977;49.29667602996255
"32607";22630;954532;42.179938135218734
"32608";37480;1895378;50.57038420490929
"32609";13590;316069;23.25746872700515
"32615";14030;585696;41.74597291518175
"32617";3820;105286;27.561780104712042
"32618";6240;193085;30.943108974358974
"32619";4400;108994;24.771363636363635
"32621";4760;97702;20.52563025210084
"32622";1280;42110;32.8984375
"32625";1430;57107;39.93496503496503
"32626";6360;164940;25.933962264150942
"32628";3130;66945;21.38817891373802
"32631";370;17699;47.83513513513513
"32640";8470;227391;26.84663518299882
"32641";11150;196881;17.657488789237668
"32643";11060;373202;33.74339963833635
"32648";330;8740;26.484848484848484
"32653";12740;598835;47.00431711145997
"32656";12780;347888;27.22128325508607
"32666";5200;175622;33.77346153846154
"32667";3300;149367;45.262727272727275
"32668";4450;139808;31.41752808988764
"32669";15960;828353;51.90181704260652
"32680";7150;164021;22.94
"32686";3620;151964;41.979005524861876
"32693";9880;257282;26.040688259109313
"32694";1590;41879;26.338993710691824
"32696";11040;315286;28.558514492753623
"32701";19900;623863;31.34989949748744
"32702";2800;83733;29.904642857142857
"32703";48370;1325945;27.41254910068224
"32707";32910;1011174;30.725432999088422
"32708";43790;1931633;44.111281114409685
"32709";2310;72413;31.347619047619048
"32712";45720;1591818;34.81666666666667
"32713";20830;801673;38.48646183389342
"32714";33100;1045612;31.58948640483384
"32720";27500;843110;30.658545454545454
"32724";35540;1255510;35.32667416994935
"32725";45170;1091092;24.155235775957493
"32726";17710;497489;28.090852625635236
"32730";4930;132036;26.782150101419877
"32732";5310;250865;47.24387947269303
"32735";5260;155042;29.475665399239542
"32736";10270;424764;41.35968841285297
"32738";43650;1029150;23.577319587628867
